,Distrito,Cluster KM,Cluster HAC ,Cluster DB SP
0,25 DE DICIEMBRE,0,2,0
1,3 DE FEBRERO,0,2,1
2,ABAI,0,2,0
3,ACAHAY,0,2,2
4,ALBERDI,0,2,2
5,ALTO VERA,0,2,3
6,ALTOS,5,3,5
7,ANTEQUERA,5,5,4
8,AREGUA,1,4,-1
9,ARROYOS Y ESTEROS,0,2,5
10,ASUNCION,0,2,2
11,ATYRA,5,5,5
12,AYOLAS,0,2,2
13,AZOTEY,0,2,6
14,BAHIA NEGRA,0,2,6
15,BELEN,5,5,5
16,BELLA VISTA,1,4,-1
17,BENJAMIN ACEVAL,5,5,5
18,BORJA,0,2,7
19,BUENA VISTA,0,2,8
20,CAACUPE,3,3,-1
21,CAAGUAZU,5,5,-1
22,CAAZAPA,0,2,9
23,CAMBYRETA,0,2,9
24,CAPIATA,1,4,-1
25,CAPIIBARY,0,2,2
26,CAPITAN BADO,0,2,2
27,CAPITAN MEZA,0,2,8
28,CAPITAN MIRANDA,0,2,2
29,CARAGUATAY,0,2,9
30,CARAPEGUA,5,5,-1
31,CARAYAO,0,2,2
32,CARLOS ANTONIO LOPEZ,0,2,2
33,CARMELO PERALTA,0,2,1
34,CARMEN DEL PARANA,0,2,1
35,CECILIO BAEZ,5,5,2
36,CERRITO,0,2,1
37,CHORE,0,2,9
38,COLONIA INDEPENDENCIA,0,2,2
39,CONCEPCION,4,1,-1
40,CORONEL BOGADO,0,2,2
41,CORONEL MARTINEZ,0,2,2
42,CORONEL OVIEDO,5,5,-1
43,CORPUS CHRISTI,0,2,2
44,CURUGUATY,5,5,-1
45,DESMOCHADOS,0,2,6
46,DR. MOISES BERTONI,0,2,6
47,EDELIRA,0,2,2
48,EMBOSCADA,0,2,5
49,ENCARNACION,0,2,-1
50,ESCOBAR,0,2,2
51,EUSEBIO AYALA,0,2,5
52,FELIX PEREZ CARDOZO,0,2,2
53,FERNANDO DE LA MORA,4,1,-1
54,FILADELFIA,0,2,2
55,FRAM,0,2,2
56,FUERTE OLIMPO,0,2,0
57,GENERAL ARTIGAS,0,2,2
58,GENERAL BRUGUEZ,0,2,1
59,GENERAL DELGADO,0,2,4
60,GENERAL FRANCISCO CABALLERO ALVAREZ,0,2,10
61,GENERAL MORINIGO,0,2,4
62,GUARAMBARE,4,1,-1
63,GUAYAIBI,0,2,9
64,HERNANDARIAS,5,5,-1
65,HOHENAU,0,2,2
66,HORQUETA,5,5,-1
67,HUMAITA,0,2,1
68,ISLA PUCU,0,2,2
69,ISLA UMBU,0,2,6
70,ITA,3,3,-1
71,ITACURUBI DE LA CORDILLERA,5,5,-1
72,ITACURUBI DEL ROSARIO,0,2,8
73,ITAKYRY,0,2,9
74,ITANARA,0,2,6
75,ITAPE,0,2,2
76,ITAPUA POTY,0,2,10
77,ITAUGUA,4,1,-1
78,ITURBE,0,2,2
